YEAR_QUARTER_YYYYQQ,CRM_ACCOUNT_ID,CRM_ACCOUNT_NAME,BAND,DICTATED_BY,NET_ARR_USD_PRIOR_QTR_END,NET_ARR_USD,ATR_ARR_USD_STARTING,BU_FC,CC,CC_OFFCYCLE_ARR,EXPANSION,REGION,PRO_FORMA_MARKET_SEGMENT,PRO_FORMA_SUBREGION,TERM_GROUPED,CRM_HEALTH_STATUS,CRM_OWNER_NAME,CRM_SUCCESS_OWNER_NAME,MANAGER_SUCCESS,CRM_RENEWAL_OWNER_NAME,MANAGER_RENEWAL,RAMP_DEAL,AUTO_RENEW,NEXT_RENEWAL_DATE,DONE_DEAL,FLAG_3K,TERRITORY_INDUSTRY_C,BILLING_COUNTRY,DAYS_SINCE_LAST_CS_TOUCH,PRODUCT_LINES,FORECAST_SUMMARY,CC_REASON,PARTNER_NAME,PARTNER_TYPE_C
2027Q1,0018000001XZ0cUAAT,ThinkVidya Learning Private Limited (UrbanPro.com),<100k,QTD + math,5670,5670,0,0.00E+00,0,0,0,APAC,Commercial,India,Non-Monthly,Orange,Neetu Singh,,,Zy Castillo,Jesse Read,FALSE,TRUE,2026-06-30,,N,Consumer Services,India,15,"Explore, Suite",,No Risk,,
2027Q1,0011E00001j99CgQAI,TEKit,<100k,QTD + math,1320,1320,0,0.00E+00,0,0,0,APAC,Digital,ANZ,Non-Monthly,,Sam Hansen,,,Digital Renewals,Julietta Seley,,,2026-06-13,,N,Corporate Services,New Zealand,,Zendesk Suite,,,,
2027Q1,001PC00000YG6abYAD,Paritybuilders,<100k,QTD + math,1430.4,1430.4,1430.4,0.00E+00,0,0,0,APAC,SMB,Asia,Monthly,,Eric Choi,,,Ann Rosete,EJ Calumpag,FALSE,TRUE,2026-05-11,,N,Corporate Services,"Korea, Republic of",,,,,MatrixCloud,
2027Q1,001PC00000RBQsUYAX,eTracker Pty Ltd,<100k,QTD + math,228,228,0,0.00E+00,0,0,0,APAC,Digital,,Non-Monthly,,Sam Hansen,,,Digital Renewals,Julietta Seley,,,2026-06-30,,N,Technology,Australia,,Support,,,,
2027Q1,0018000001TH349AAD,Lets Go Motorhomes,<100k,QTD + math,548.18,548.18,548.18,0.00E+00,0,0,0,APAC,Digital,ANZ,Non-Monthly,,Sam Hansen,,,Digital Renewals,Julietta Seley,,,2026-07-18,FALSE,N,Consumer Services,Australia,,Chat,,,,
2027Q1,0016R000038w7NPQAY,キヤノンマーケティングジャパン株式会社,<100k,QTD + math,33638.4,33638.4,0,0.00E+00,0,0,0,APAC,Enterprise,Japan,Non-Monthly,,Yuki Okabe,Tomoki Kawakami,Dave Giblin,Eri Nishimoto,Jesse Read,FALSE,TRUE,2026-06-19,,N,Technology,Japan,,"Support, Zendesk Suite",,,,
2027Q1,0011E00001pHJbwQAG,Traction Marketing,<100k,QTD + math,1824,1824,0,0.00E+00,0,0,0,APAC,Digital,ANZ,Non-Monthly,,Sam Hansen,,,Digital Renewals,Julietta Seley,,,2026-05-22,,N,Corporate Services,New Zealand,,Support,,,,
2027Q1,0011E00001iabL4QAI,株式会社オロ,<100k,QTD + math,16224,16224,0,0.00E+00,0,0,0,APAC,Commercial,Japan,Non-Monthly,,Yutaro Furukawa,Anna Muramatsu,Dave Giblin,Marina Misawa,Eri Nishimoto,FALSE,TRUE,2026-09-01,,N,Technology,Japan,,,,,,
2027Q1,0018000001IS1w5AAD,Traders Family International,<100k,QTD + math,3692.4,3692.4,0,0.00E+00,0,0,0,APAC,Digital,Asia,Non-Monthly,,Sam Hansen,,,Digital Renewals,Julietta Seley,,,2026-11-30,,N,Financial Services,Indonesia,,,,,,
2027Q1,0011E00001ictRzQAI,joyient,<100k,QTD + math,72,72,72,0.00E+00,0,0,0,APAC,SMB,Asia,Non-Monthly,,Lin Yemei,,,Ann Rosete,EJ Calumpag,,,2027-04-15,FALSE,N,Corporate Services,China,,"Chat, Explore, Guide, Support, Talk",,,,
2027Q1,0011E00001o9SmmQAE,株式会社電通総研,<100k,QTD + math,41478,41478,9744,0.00E+00,0,0,0,APAC,Enterprise,Japan,Non-Monthly,Green,Noz Sasaoka,Tomoki Kawakami,Dave Giblin,Eri Nishimoto,Jesse Read,FALSE,TRUE,2026-05-08,FALSE,N,Corporate Services,Japan,,,,No Risk,,
2027Q1,0016R000039yqhzQAA,SHENZHEN SHOULI INTELLIGENT TECHNOLOGY CO.LTD_深圳市首力智能科技有限公司,<100k,QTD + math,1932,1932,0,0.00E+00,0,0,0,APAC,SMB,Asia,Non-Monthly,,Lin Yemei,,,Ann Rosete,EJ Calumpag,FALSE,TRUE,2026-05-25,,N,Telecommunications,China,,Zendesk Suite,,,,
2027Q1,0011E00001mUV1TQAW,Mediwave Digital,<100k,QTD + math,7152,7152,7152,9.60E+02,0,0,0,APAC,Digital,Asia,Monthly,,Sam Hansen,,,Digital Renewals,Julietta Seley,,,2026-04-30,FALSE,N,Technology,India,,,,,,
2027Q1,0018000001aBKdaAAG,Shiels Jewellers,<100k,QTD + math,900,900,900,0.00E+00,0,0,0,APAC,Commercial,ANZ,Monthly,,Harry Sorensen,,,Nikki Arcilla,Jesse Read,,,2026-05-12,FALSE,N,"Retail, Distribution & CPG",Australia,,,,,,
2027Q1,0011E00001oBuUPQA0,Recsite Design,<100k,QTD + math,1140,1140,1140,0.00E+00,0,0,0,APAC,Digital,ANZ,Non-Monthly,,Sam Hansen,,,Digital Renewals,Julietta Seley,,,2027-03-24,,N,Hospitality & Leisure,Australia,,,,,,
2027Q1,0011E00001kUSL4QAO,Kale Technology,<100k,QTD + math,17160,17160,0,0.00E+00,0,0,0,APAC,Commercial,Asia,Non-Monthly,,Giselle Ng,Denise Tan,JR Roque,Zy Castillo,Jesse Read,FALSE,TRUE,2026-06-26,,N,Financial Services,Malaysia,,Zendesk Suite,,,,
2027Q1,001PC000008X2zKYAS,株式会社PizzaWorks,<100k,QTD + math,660,660,660,0.00E+00,0,0,0,APAC,SMB,Japan,Non-Monthly,,Fuminori Goto,,,Shuhei Murata,Eri Nishimoto,,,2027-03-07,FALSE,N,Hospitality & Leisure,Japan,,,,,,
2027Q1,0011E00001mTDK9QAO,Flags Communications,<100k,QTD + math,204,204,0,0.00E+00,0,0,0,APAC,Digital,Asia,Non-Monthly,,Sam Hansen,,,Digital Renewals,Julietta Seley,,,2026-06-11,,N,Corporate Services,India,,Chat,,,,
2027Q1,0018000000zRXteAAG,Ampleair.com.AU,<100k,QTD + math,3175.2,3175.2,0,0.00E+00,0,0,0,APAC,Digital,ANZ,Non-Monthly,,Sam Hansen,,,Digital Renewals,Julietta Seley,FALSE,TRUE,2026-09-14,,N,Manufacturing & Resources (B2B),Australia,,,,,,
