YEAR_QUARTER,QUARTER_DIFF,CRM_ACCOUNT_ID,CRM_ACCOUNT_NAME,BAND,DICTATED_BY,NET_ARR_USD_PRIOR_QTR_END,NET_ARR_USD,ATR_ARR_USD_STARTING,ATR_ARR_USD_LTG,BU_FC,QTD_CC,CC_OFFCYCLE_ARR,FC_REMAINING,FC_ONCYCLE,FC_OFFCYCLE,UPSIDE,DOWNSIDE,REGION,PRO_FORMA_MARKET_SEGMENT,PRO_FORMA_SUBREGION,TERM_GROUPED,CRM_HEALTH_STATUS,CRM_OWNER_NAME,CRM_OWNER_MANAGER_NAME,CRM_SUCCESS_OWNER_NAME,MANAGER_SUCCESS,CRM_RENEWAL_OWNER_NAME,MANAGER_RENEWAL,RAMP_DEAL,AUTO_RENEW,NEXT_RENEWAL_DATE,LARGEST_RENEWAL_DATE,DONE_DEAL,FLAG_3K,TERRITORY_INDUSTRY_C,TERRITORY_SUB_INDUSTRY_C,BILLING_COUNTRY,CC_REASON,DAYS_SINCE_LAST_CS_TOUCH,PRODUCT_LINES,FORECAST_SUMMARY,PARTNER,PARTNER_TYPE_C,MANAGED_BY_PARTNER_FLAG
Q3`25,-8,0011E00001g43uBQAQ,Google UK,100k+,Default Flat,101692.8000,101692.8000,0.00,,0.000000000000,0.0000,0.00,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,EMEA,Enterprise,UKI,Non-Monthly,Churning,Jacob Beetham,Eoin O'Cuilleanain,Jodi Miller,Florencia Oliver,Chris Lynch,Luciana Arnhold,FALSE,FALSE,,2025-05-19,,N,Technology,Search Engines & Internet Portals,United Kingdom,No Response / Ghost,,,LA: Customer is no longer using ZD as they buillt their own internal solution. They are also not using the solution since beginning of July 24.,,,N
Q4`25,-7,0011E00001g43uBQAQ,Google UK,100k+,RM,101692.8000,0.0000,101692.80,,101692.800000000000,101692.8000,0.00,,101692.800000000000,0.000000000000,0.000000000000,0.000000000000,EMEA,Enterprise,UKI,Non-Monthly,Churning,David Mills,Arnaud Lousse,,,Darach Lennon,Luciana Arnhold,,,,2025-01-03,,N,Technology,Search Engines & Internet Portals,United Kingdom,No Response / Ghost,,,LA: Google has developed its own platform hence is no longer using Zendesk. They tried to cancel the contract in 2024 but as this was an MSA violation we agreed to cancel them from January.,,,N
Q3`25,-8,0011E00001g44l6QAA,ACV Auctions Inc.,100k+,Default Flat,153500.0400,160250.0400,0.00,,0.000000000000,0.0000,0.00,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,AMER,Enterprise,West,Non-Monthly,Yellow,Belen Martinez,Paul Lehrer,Mustafa Afzal,Jessica Kim-Gusso,Stacey Hopkinson,Kellie Feuer,FALSE,TRUE,,2024-12-26,,Y,Corporate Services,Professional Services/Consulting,United States,Product Capability Gap,17,,,,,N
Q4`25,-7,0011E00001g44l6QAA,ACV Auctions Inc.,100k+,RM,160250.0400,186300.0000,160250.04,,0.000000000000,0.0000,0.00,,0.000000000000,0.000000000000,-3771.040000000000,0.000000000000,AMER,Enterprise,East,Non-Monthly,Yellow,Belen Martinez,Paul Lehrer,Meghan McKeon,Jessica Kim-Gusso,Stacey Hopkinson,Kellie Feuer,TRUE,TRUE,,2024-12-26,,Y,Corporate Services,Professional Services/Consulting,United States,Product Capability Gap,17,,12/2 SMH auto renew w/ 7% increase however Sales leading as expansion and price increases.,,,N
Q1`26,-6,0011E00001g44l6QAA,ACV Auctions Inc.,100k+,Default Flat,186300.0000,186300.0000,0.00,,0.000000000000,0.0000,0.00,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,AMER,Enterprise,East,Non-Monthly,Green,Belen Martinez,Paul Lehrer,Meghan McKeon,Jessica Kim-Gusso,Stacey Hopkinson,Kellie Feuer,TRUE,TRUE,,2026-12-26,,Y,Corporate Services,Professional Services/Consulting,United States,Product Capability Gap,17,,,,,N
Q2`26,-5,0011E00001g44l6QAA,ACV Auctions Inc.,100k+,Default Flat,186300.0000,186300.0000,0.00,,0.000000000000,0.0000,0.00,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,AMER,Enterprise,East,Non-Monthly,Green,Belen Martinez,Evan Moore,Ryan VanNortwick,Jessica Kim-Gusso,Stacey Hopkinson,Kellie Feuer,TRUE,TRUE,,2026-12-26,,Y,Corporate Services,Professional Services/Consulting,United States,Product Capability Gap,17,,,,,N
Q3`26,-4,0011E00001g44l6QAA,ACV Auctions Inc.,100k+,Default Flat,186300.0000,186300.0000,0.00,,0.000000000000,0.0000,0.00,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,AMER,Enterprise,East,Non-Monthly,Green,Belen Martinez,Evan Moore,Ryan VanNortwick,Jessica Kim-Gusso,Stacey Hopkinson,Kellie Feuer,TRUE,TRUE,,2026-12-26,,Y,Corporate Services,Professional Services/Consulting,United States,Product Capability Gap,17,,,,,N
Q4`26,-3,0011E00001g44l6QAA,ACV Auctions Inc.,100k+,Default Flat,186300.0000,213900.0000,0.00,,0.000000000000,0.0000,0.00,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,AMER,Enterprise,East,Non-Monthly,Green,Belen Martinez,Evan Moore,Ryan VanNortwick,Jessica Kim-Gusso,Stacey Hopkinson,Kellie Feuer,TRUE,TRUE,,2026-12-26,,Y,Corporate Services,Professional Services/Consulting,United States,Product Capability Gap,17,,,,,N
Q1`27,-2,0011E00001g44l6QAA,ACV Auctions Inc.,100k+,Default Flat,213900.0000,213900.0000,0.00,,0.000000000000,0.0000,0.00,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,AMER,Enterprise,East,Non-Monthly,Green,Kevin Hogan,Thomas Nagy,Leah Williams,Michelle Cook,Mike Fulton,Kellie Feuer,TRUE,TRUE,,2026-12-26,,Y,Corporate Services,Professional Services/Consulting,United States,Product Capability Gap,17,,,,,N
Q2`27,-1,0011E00001g44l6QAA,ACV Auctions Inc.,100k+,Default Flat,213900.0000,213900.0000,0.00,,0.000000000000,0.0000,0.00,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,AMER,Enterprise,East,Non-Monthly,Orange,Kevin Hogan,Thomas Nagy,Stacy Griffin,Michelle Cook,Mike Fulton,Kellie Feuer,TRUE,TRUE,,2026-12-26,,Y,Corporate Services,Professional Services/Consulting,United States,Product Capability Gap,17,,,,,N
